WHO.region,study.country,logOR_se,year,year_z,.row,urRatio,.lower,.upper,.width,.point,.interval,pop_2024,urban_perc_2024,rural_perc_2024,urban_pop_2024,rural_pop_2024
Africa region,Eswatini,1,2024,13,22,1.3148050244460352,0.5717480266279614,2.584258430039706,0.95,mean,qi,1242822,25.013,74.987,310867.06686,931954.9331399999
Africa region,Ethiopia,1,2024,13,9,1.1786162799513016,0.6257755049066582,2.185411240672401,0.95,mean,qi,132059767,23.661,76.339,31246661.46987,100813105.53013
Africa region,Gambia,1,2024,13,13,2.134236508544089,1.0212025660640416,3.950444824008089,0.95,mean,qi,2759988,65.08,34.92,1796200.1903999997,963787.8096
Africa region,Ghana,1,2024,13,26,0.9935963285531045,0.47659259985355945,1.9960580495898204,0.95,mean,qi,34427414,59.854,40.146,20606184.375559997,13821229.62444
Africa region,Kenya,1,2024,13,12,1.656848459502298,0.848534584536414,2.867152772310538,0.95,mean,qi,56432944,30.049,69.951,16957535.342559997,39475408.65744
Africa region,Lesotho,1,2024,13,23,0.9527667839982611,0.48706616801606284,1.798444481797471,0.95,mean,qi,2337423,30.897,69.10300000000001,722193.58431,1615229.4156900002
Africa region,Malawi,1,2024,13,6,1.9815453258642357,0.8923740673705001,3.8455757271269406,0.95,mean,qi,21655286,18.598,81.402,4027450.0902799997,17627835.90972
Africa region,Namibia,1,2024,13,20,1.4377015732745457,0.71097170115516,2.616973669080943,0.95,mean,qi,3030131,55.795,44.205,1690661.5914500002,1339469.40855
Africa region,Nigeria,1,2024,13,16,1.823833849990054,0.8362234742012699,3.5558731629849394,0.95,mean,qi,232679478,55.03,44.97,128043516.74340001,104635961.25659999
Africa region,Tanzania,1,2024,13,14,1.2192484771508973,0.5198674919423827,2.4521712622091227,0.95,mean,qi,68560157,38.136,61.864,26146101.473520003,42414055.52648
Africa region,Uganda,1,2024,13,19,1.4745903911296454,0.6975856146058883,2.770576345903571,0.95,mean,qi,50015092,27.389,72.611,13698633.547879998,36316458.45212
Africa region,Zambia,1,2024,13,15,2.0484512289492445,0.9846040251971676,3.759682128767317,0.95,mean,qi,21314956,46.914,53.086,9999698.45784,11315257.54216
Africa region,Zimbabwe,1,2024,13,25,1.267312898251733,0.622401568720778,2.36958354477807,0.95,mean,qi,16634373,32.67,67.33,5434449.6591,11199923.3409
Eastern Mediterranean region,Pakistan,1,2024,13,11,0.9819445068266761,0.4500831190572328,1.9885924433268207,0.95,mean,qi,251269164,38.365,61.635,96399414.76860002,154869749.23139998
Eastern Mediterranean region,Sudan,1,2024,13,1,1.7735610548018605,0.8229606911104979,3.371924841586935,0.95,mean,qi,50448963,36.752,63.248,18541002.88176,31907960.118239995
South-East Asia region,Bangladesh,1,2024,13,7,1.2112777521722111,0.6279004063688465,2.1670181651153415,0.95,mean,qi,173562364,41.23,58.77,71559762.67719999,102002601.3228
South-East Asia region,India,1,2024,13,2,0.8006816032595041,0.3892258677432606,1.5596455734290928,0.95,mean,qi,1450935791,36.867,63.133,534916498.06797,916019292.9320301
South-East Asia region,Indonesia,1,2024,13,10,1.3931972885577624,0.683018267870334,2.5413578846487264,0.95,mean,qi,283487931,59.204,40.796,167836194.66924,115651736.33076
South-East Asia region,Myanmar,1,2024,13,17,1.7544966225455436,0.7951379297584076,3.395328147318577,0.95,mean,qi,54500091,32.47,67.53,17696179.5477,36803911.4523
South-East Asia region,North Korea,1,2024,13,24,1.101218878074092,0.5878549163388345,1.9960573650052094,0.95,mean,qi,26498823,63.503,36.497,16827547.56969,9671275.43031
South-East Asia region,Thailand,1,2024,13,4,1.332362418374035,0.5456360005598657,2.716103072383679,0.95,mean,qi,71668011,54.32,45.68,38930063.5752,32737947.424799997
Western Pacific region,China,1,2024,13,3,0.7167474565629639,0.31576745879805146,1.4846637282378108,0.95,mean,qi,1408975000,65.544,34.456,923498574,485476426.00000006
Western Pacific region,Laos,1,2024,13,18,1.0012513267831742,0.4381441927989638,2.0165814306381544,0.95,mean,qi,7769819,38.906,61.094,3022925.78014,4746893.219860001
Western Pacific region,Mongolia,1,2024,13,21,1.3884631239625895,0.4665007290973161,3.2645191468537615,0.95,mean,qi,3524788,69.263,30.736999999999995,2441373.91244,1083414.0875599997
Western Pacific region,Philippines,1,2024,13,8,1.3343070609782555,0.5613004640794121,2.6962334780284567,0.95,mean,qi,115843670,48.614,51.386,56316241.733799994,59527428.2662
Western Pacific region,Vietnam,1,2024,13,5,1.1689454287132726,0.4848748493588524,2.449492186802703,0.95,mean,qi,100987686,40.195,59.805,40592000.38770001,60395685.61229999
