Survey ID,WHO region,Country/Year,Age inclusion,World Bank country classification,TB incidence (per 100k),Percent urban,Case definition,Diagnostic tests,Urban (n/N),Rural (n/N),Urban Prevalence (per 100k),Rural Prevalence (per 100k),Crude Urban: Rural Ratio,Risk of bias
26865,Africa,Eswatini (National) 2018-2019,15+,Lower-middle income,441,23.8%,Adjusted bacteriologically-confirmed TB prevalence,Xpert and Culture,NA/1196,NA/8742,385,344,1.1,Low
26942,Africa,Ethiopia (Dabat District) 2010-2010,14+,Low income,269,17.3%,Count of smear-positive TB cases,Smear,NA/5027,NA/18563,119,188,0.6,Not low
22718,Africa,Ethiopia (Hetosa District) 2013-2013,15+,Low income,224,18.6%,Adjusted bacteriologically-confirmed TB prevalence,Culture and Smear,9/5903,36/27170,153,125,1.2,Low
26913,Africa,Ethiopia (National) 2010-2011,15+,Low income,269,17.3%,Adjusted bacteriologically-confirmed TB prevalence,Culture and Smear,NA/7490,NA/34952,273,273,1.0,Low
26881,Africa,Ethiopia (Tigray) 2011-2011,15+,Low income,253,17.7%,Adjusted bacteriologically-confirmed TB prevalence,Culture and Smear,17/4624,13/7551,193,222,0.9,Not low
21508,Africa,Ghana (National) 2013-2013,15+,Lower-middle income,168,52.7%,Adjusted bacteriologically-confirmed TB prevalence,"Xpert, Culture and Smear",NA/33122,NA/28604,293,429,0.7,Low
26924,Africa,Kenya (Karemo) 2010-2010,12+,Low income,531,23.6%,Count of bacteriologically-confirmed TB cases,Culture and Smear,1/275,15/4729,363,317,1.1,Not low
26860,Africa,Kenya (National) 2015-2016,15+,Lower-middle income,348,26.1%,Adjusted bacteriologically-confirmed TB prevalence,"Xpert, Culture and Smear",NA/19444,NA/43606,760,453,1.7,Low
26862,Africa,Lesotho (National) 2019-2019,15+,Lower-middle income,654,28.6%,Adjusted bacteriologically-confirmed TB prevalence,Xpert and Culture,40/8230,85/12490,453,670,0.7,Low
26969,Africa,Malawi (National) 2013-2014,15+,Low income,228,16.1%,Adjusted bacteriologically-confirmed TB prevalence,"Xpert, Culture and Smear",29/3654,103/27925,1014,373,2.7,Low
26869,Africa,Namibia (National) 2017-2018,15+,Upper-middle income,524,50.0%,Adjusted bacteriologically-confirmed TB prevalence,Xpert and Culture,54/12178,65/17317,537,391,1.4,Low
26917,Africa,Nigeria (National) 2012-2012,15+,Lower-middle income,219,45.2%,Adjusted bacteriologically-confirmed TB prevalence,Culture and Smear,NA/NA,NA/NA,663,323,2.1,Not low
